상호명,상권업종소분류명,시도명,시군구명,경도,위도
크로스핏무도,헬스장,강원특별자치도,춘천시,127.73937082927,37.8559877960968
굿모닝달림방,헬스장,강원특별자치도,인제군,128.204898974932,38.124463021036
에이치케이휘트니스,헬스장,강원특별자치도,춘천시,127.724052167258,37.9057602641363
플렉스,헬스장,강원특별자치도,춘천시,127.741555454723,37.8585507252065
골목PT,헬스장,강원특별자치도,춘천시,127.741757391688,37.8798294383651
상아휘트니스,헬스장,강원특별자치도,원주시,127.917900388639,37.355338162322
더S짐,헬스장,강원특별자치도,원주시,127.972481133793,37.3411618374325
제로짐,헬스장,강원특별자치도,양구군,127.987237282012,38.1073142637107
핏앤피트니스기업도시점,헬스장,강원특별자치도,원주시,127.877670862013,37.3744473530973
오짐,헬스장,강원특별자치도,철원군,127.222319928432,38.2103869898453
콩짐,헬스장,강원특별자치도,삼척시,129.177042603076,37.4458839761174
팀노마드리트릿피트니스,헬스장,강원특별자치도,강릉시,128.905400784412,37.7687525524818
바디업휘트니스,헬스장,강원특별자치도,홍천군,127.883669873785,37.6883468679528
저스트원짐,헬스장,강원특별자치도,춘천시,127.737417665177,37.854972980629
SY점핑하이,헬스장,강원특별자치도,태백시,128.988015083179,37.1590302263329
주문진스포츠클럽,헬스장,강원특별자치도,강릉시,128.82511721306,37.8901959669805
알에스피트니스,헬스장,강원특별자치도,춘천시,127.747561644818,37.882801825269
발리헬스클럽,헬스장,강원특별자치도,춘천시,127.728024273554,37.8599595379731
바디&디자인,헬스장,강원특별자치도,동해시,129.105611111154,37.490158358212
24시헬스,헬스장,강원특별자치도,원주시,127.955761630049,37.3263685641278
바디애,헬스장,강원특별자치도,춘천시,127.739116757718,37.8578543220358
메이크바디,헬스장,강원특별자치도,춘천시,127.731613071643,37.863198668808
마스터짐,헬스장,강원특별자치도,철원군,127.310122301122,38.1453141425657
이지연휘트니스,헬스장,강원특별자치도,춘천시,127.752944984892,37.8734158745285
중앙헬스클럽,헬스장,강원특별자치도,철원군,127.218404310466,38.2068177830476
스타핏프리미엄,헬스장,강원특별자치도,강릉시,128.876240169075,37.762635438306
듀플릿휘트니스,헬스장,강원특별자치도,원주시,127.930196762538,37.3337893326002
몬스터짐교동택지점,헬스장,강원특별자치도,강릉시,128.877019630246,37.7624969038187
팀엑스짐,헬스장,강원특별자치도,강릉시,128.881403894318,37.7420588690694
오운완피트니스,헬스장,강원특별자치도,강릉시,128.914398932074,37.7717956330923
호크아이짐,헬스장,강원특별자치도,원주시,127.924741881754,37.3471939143922
골드헬스클럽,헬스장,강원특별자치도,삼척시,129.1646339093,37.4426527506298
커브스동송클럽,헬스장,강원특별자치도,철원군,127.217636432741,38.2096750491685
핏걸,헬스장,강원특별자치도,철원군,127.304494449953,38.1444009351446
크로스핏하이파이브,헬스장,강원특별자치도,동해시,129.103826277662,37.5288725055569
크로스핏아이두,헬스장,강원특별자치도,원주시,127.925337478831,37.3396298776389
원픽짐,헬스장,강원특별자치도,영월군,128.466192873529,37.1805033711293
더짐,헬스장,강원특별자치도,삼척시,129.175493224803,37.4481736355988
월드휘트니스,헬스장,강원특별자치도,동해시,129.111189786508,37.52365128235
애니핏PT,헬스장,강원특별자치도,춘천시,127.730601627496,37.8620427466265
에이치줌바피트니스,헬스장,강원특별자치도,삼척시,129.163537264618,37.4426277968173
더클래스짐,헬스장,강원특별자치도,원주시,127.874797877514,37.3749551784058
수밸런스운동센터,헬스장,강원특별자치도,원주시,127.94842927556,37.3390325410629
골드휘트니스헬스,헬스장,강원특별자치도,원주시,127.829266522967,37.3237007381498
시크릿피티스튜디오,헬스장,강원특별자치도,춘천시,127.728644165922,37.8986686619151
팀메이트,헬스장,강원특별자치도,강릉시,128.914957837548,37.769705613304
조이클럽멀티짐,헬스장,강원특별자치도,원주시,127.957319067678,37.3246260541934
업텐션피티스튜디오,헬스장,강원특별자치도,양양군,128.621933629062,38.0759348424775
루피티,헬스장,강원특별자치도,춘천시,127.74862623577,37.8621998016255
머슬앤휘트니스클럽.중부종합상사,헬스장,강원특별자치도,영월군,128.457750827703,37.1765621735796
레드플렉스짐,헬스장,강원특별자치도,강릉시,128.881823521009,37.7425025911723
리즌휘트니스,헬스장,강원특별자치도,춘천시,127.735222298318,37.860455371273
레인보우마사지,헬스장,강원특별자치도,정선군,128.852364210819,37.2022841404418
